Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
1,337,118,4,4.5,4.5,9.65,1,0.92
2,324,107,4,4,4.5,8.87,1,0.76
3,316,104,3,3,3.5,8,1,0.72
4,322,110,3,3.5,2.5,8.67,1,0.8
5,314,103,2,2,3,8.21,0,0.65
6,330,115,5,4.5,3,9.34,1,0.9
7,321,109,3,3,4,8.2,1,0.75
8,308,101,2,3,4,7.9,0,0.68
9,302,102,1,2,1.5,8,0,0.5
10,323,108,3,3.5,3,8.6,0,0.45
11,325,106,3,3.5,4,8.4,1,0.52
12,327,111,4,4,4.5,9,1,0.84
13,333,125,2,5,5,8,0,0.9
14,328,112,4,4,4.5,9.1,1,0.78
15,307,109,3,4,3,8,1,0.62
16,311,104,3,3.5,2,8.2,1,0.61
17,314,105,3,3.5,2.5,8.3,0,0.54
18,317,107,3,4,3,8.7,0,0.66
19,319,106,3,4,3,8,1,0.65
20,318,110,3,4,3,8.8,0,0.63
21,303,102,3,3.5,3,8.5,0,0.62
22,312,107,3,3,2,7.9,1,0.64
23,325,114,4,3,2,8.4,0,0.7
24,328,116,5,5,5,9.5,1,0.94
25,334,119,5,5,4.5,9.7,1,0.95
26,336,119,5,4,3.5,9.8,1,0.97
27,340,120,5,4.5,4.5,9.6,1,0.94
28,322,109,5,4.5,3.5,8.8,0,0.76
29,298,98,2,1.5,2.5,7.5,1,0.44
30,295,93,1,2,2,7.2,0,0.46
31,310,99,2,1.5,2,7.3,0,0.54
32,300,97,2,3,3,8.1,1,0.65
33,327,103,3,4,4,8.3,1,0.74
34,338,118,4,3,4.5,9.4,1,0.91
35,340,114,5,4,4,9.6,1,0.9
36,331,112,5,4,5,9.8,1,0.94
37,320,110,5,5,5,9.2,1,0.88
38,,106,2,4,4,8.4,0,0.64
39,300,105,1,1,2,7.8,0,0.58
40,304,105,1,3,1.5,7.5,0,0.52
41,307,108,2,4,3.5,7.7,0,0.48
42,308,110,,3.5,3,8,1,0.46
43,316,105,2,2.5,2.5,8.2,1,0.49
44,313,107,2,2.5,2,8.5,1,0.53
45,332,117,4,4.5,4,,0,0.87
46,326,113,5,4.5,4,9.4,1,0.91
47,322,110,5,5,4,9.1,1,0.88
48,329,114,5,4,5,9.3,1,0.86
49,339,119,5,4.5,4,9.7,0,0.89
50,321,,3,3.5,5,8.85,1,0.82
51,327,111,4,3,4,8.4,1,0.78
52,313,98,3,2.5,4.5,8.3,1,0.76
53,312,100,2,1.5,3.5,7.9,1,0.56
54,334,116,4,4,3,8,1,0.78
55,324,112,4,4,2.5,8.1,1,0.72
56,322,110,3,3,3.5,8,0,0.7
57,320,103,3,3,3,7.7,0,0.64
58,316,102,3,2,3,7.4,0,0.64
